68  ,  500  ,13
1,      59,  501,                XN-GEN川德昌风电#04,                                             有功功率P,  0,                      WholeNet,Output06.txt,     9
1,      60,  501,                XN-GEN川德昌风电#04,                                             无功功率Q,  0,                      WholeNet,Output06.txt,    10
1,      61,  501,                   XN-GEN川地洛#1,                                             有功功率P,  0,                      WholeNet,Output07.txt,     1
1,      62,  501,                   XN-GEN川地洛#1,                                             无功功率Q,  0,                      WholeNet,Output07.txt,     2
1,      63,  501,                   XN-GEN川地洛#2,                                             有功功率P,  0,                      WholeNet,Output07.txt,     3
1,      64,  501,                   XN-GEN川地洛#2,                                             无功功率Q,  0,                      WholeNet,Output07.txt,     4
1,      65,  501,                   XN-GEN川东风#1,                                             有功功率P,  0,                      WholeNet,Output07.txt,     5
1,      66,  501,                   XN-GEN川东风#1,                                             无功功率Q,  0,                      WholeNet,Output07.txt,     6
1,      67,  501,                   XN-GEN川东风#2,                                             有功功率P,  0,                      WholeNet,Output07.txt,     7
1,      68,  501,                   XN-GEN川东风#2,                                             无功功率Q,  0,                      WholeNet,Output07.txt,     8
1,      69,  501,                   XN-GEN川东谷#1,                                             有功功率P,  0,                      WholeNet,Output07.txt,     9
1,      70,  501,                   XN-GEN川东谷#1,                                             无功功率Q,  0,                      WholeNet,Output07.txt,    10
1,      71,  501,                  XN-GEN川东岳#31,                                             有功功率P,  0,                      WholeNet,Output08.txt,     1
1,      72,  501,                  XN-GEN川东岳#31,                                             无功功率Q,  0,                      WholeNet,Output08.txt,     2
1,      73,  501,                  XN-GEN川多诺#01,                                             有功功率P,  0,                      WholeNet,Output08.txt,     3
1,      74,  501,                  XN-GEN川多诺#01,                                             无功功率Q,  0,                      WholeNet,Output08.txt,     4
1,      75,  501,                  XN-GEN川多诺#02,                                             有功功率P,  0,                      WholeNet,Output08.txt,     5
1,      76,  501,                  XN-GEN川多诺#02,                                             无功功率Q,  0,                      WholeNet,Output08.txt,     6
1,      77,  501,                  XN-GEN川俄公堡#1,                                             有功功率P,  0,                      WholeNet,Output08.txt,     7
